comment,label
âm thanh cũng ổn,0
sản phẩm tốt trong tầm giá mua lúc khuyến mãi nên rẻ hơn các nơi khác ưu điểm vượt trội là giao nhanh trong ngày hoàn toàn hài lòng,1
rẻ giao nhanh,1
mình 65kg dùng size m nhưng vẫn chật bắp chân dùng k thoải mái lắm,-1
hàng nhìn tốt,1
khá thất vọng 2 lần đầu làm sữa hạt ổn ko vấn đề lần thứ 3 và thứ 4 làm liên tục bị tràn sữa ra ngoài nhờ tiki giải quyết giúp mình chỉ xay 4 lần từ lúc mua và để đó,-1
mới nhận chưa sd nên chưa biết dung ok sẻ mua tiếp,1
sản phẩm tốt mình dán sticker rồi gỡ ra bị dính keo lau mãi không sạch xịt vào đợi lúc lau đi thì sáng bóng nhưng lần sau mong shop cho chọn đơn vị vận chuyển khác thêm phí cũng được mặc dù biết miễn phí vận chuyển nhưng vận bên vận chuyển này không tốt,-1
nồi cơm chính hãng vậy mà sau 1 thời gian dùng thì bị chảy nước cơm ở nắp báo tiki bảo hành thì lần 1 ko đc do dịch bệnh ko đến lấy hàng được lần 2 thì đợi mãi ko có ai đến lấy hàng gọi thì ko có ai nghe máy lại thấy tiki email báo rằng đến thu hồi 3 lần mà ko đc trong khi ko có ai đến nhà mình lấy hàng cả mấy hôm nay ko có nồi để nấu cơm rồi ko biết đến bao giờ mới đc bảo hành,-1
ok giống trong hình,0
khoan lỗ d8 xuống bàn là lắp được khá tiện,1
đo ng go i xâ u nhâ t tư khi mua ha ng trên tiki tơ i giơ,-1
vì sao không có hàng khuyến mãi tặng kèm tiki phản hồi gấp nha,-1
bình chất lượng ok nhé,1
vỏ sản phẩm rách nát đã bị mở sản phẩm đã bị vỡ lệch quai nhựa bên thu hồi thái độ rất khó chịu,-1
mình ko thể chấp nhận hàng điện tử mà đã bị cắt ra và dán băng keo lại sao có thể đảm bảo đó có thật là hàng chính hãng hay đã bị đánh tráo lần này thật sự thất vọng về cách làm việc của tiki,-1
giao hàng nhanh nhưng hộp bị móp méo mua trên tiki giá tốt hơn đc frship,-1
hàng chất lượng tốt bao gói kỹ hài lòng,1
huu ivh,1
giao siêu nhanh đặt 9h sáng thì 2h chiều đã nhận hàng kcn này sài rồi thích quá nên mua lại lớp finish đẹp,1
sản phẩm chắc chắn dây cứng cáp,1
máy sài được đáng tiền trong tầm giá,1
sách không tem chống hàng giả hàng nhái,-1
máy vắt kg ngọt không liên tục mình trước kia dùng máy vắt cam philip chỉ cần ấn nhẹ xuống là máy tự vắt máy lock n lock này vừa phải ấn mà vừa phải xoay cam mới vắt được rất mất thời gian vắt trẻ em ở nhà kg tự vắt được tôi muốn đổi sang máy vắt philip chấp nhận bù thêm tiền không biết tiki có đồng ý không tôi vừa nhận máy hôm qua và vừa dùng thử máy 1 lần,-1
túi dùng được tốt,1
nói chung rất oke,1
bình thường sóng vẫn như cái tp link củ 2 anten có những thay đổi nhỏ,0
đóng gói kỹ hàng tốt chính hãng nên yên tâm mọi người nên sử dụng,1
mình hẹn giao hàng mà đến 4 ngày sau mới nhận đc hàng,-1
hàng chuẩn giá cả hợp lí,1
kém chất lượng không giống như hình ảnh và mô tả sản phẩm,-1
quần đáng mua nhé cả nhà mềm mịn quần đẹp lắm mua cho ck mà ưng bụng gì đâu giao hàng nhanh nay đặt mai đã nhận đc rồi,1
hoi mỏng,1
đặt hương nắng mai sao lại giao chống khuẩn,-1
bình rất đẹp chắc chắn,1
kém chất lượng nfjdjdkdkkdkekeksmd,-1
vòi mạnh xịt bay mọi thứ dúnh răng,1
máy tăm nước hiện đại mình mua tặng sếp chị rất hài lòng,1
giao nhanh cafe ngon,1
máy nhỏ gọn khá êm tôi rất hài lòng,1
