comment,label,
giao hàng thiếu chờ 1 tháng chưa xử lý xong đơn hàng,-1,
vấn đề của shop nên xem lại lúc đặt thì có để tặng ly nhưng khi giao hàng thì đổi lại k tặng,-1,
thấy để tặng 1 cái ly ma sao mua ko thấy tặng vậy nè,-1,
tệ không có mùi coffe toàn ngô rang,-1,
chưa gửi hoá đơn vat,-1,
dung tích 1 gói quá ít giá cao khó bán được,-1,
trời ơi giao hàng gì mà lâu kinh khủng khiếp hơn nửa tháng trời mua trả tiền trước rồi mà vậy ák chắc mua lần đầu cũng như lần cuối luôn ngày nào cũng gọi tổng đài khiếu hết cảm rất phiền trong khi mua trê nhất cũng khoảng 1 tuần mà còn bực bội đừng nói chi đợi quá trời lâu ko biết là lỗi do bên tiki hay bên giao hàng nhưng xl phải xoá ứng dụng tiki thôi ko thể chấp nhận dc,-1,
không hài lòng ảnh để loại có tích thẻ đổi quà sản phẩm thật thì mẫu cũ biết mẫu cũ như thế mua nơi khác rẻ hơn lúc mua 366k,-1,
khách hàng kêu tặng quà cho đơn hàng cao nhất cũng ráng mua thử 1 đơn tối đã 5 thùng lên đơn thì tự ý tách ra nhiều đơn lẻ xong khóa tài khoản bảo khách hàng trục lợi,-1,
giao hàng đúng sản phẩm mà shipper k giao đến nhà bắt khách tự đến bưu cục nhận nếu k thì hủy đơn do đơn hàng đã thanh toán trước rồi nên phải rán đi nhận đề nghị tiki k nên gửi hàng qua bên nhà vận chuyển này nửa k hài lòng tí nào,-1,
sản phẩm không giống mô tả không phải là sản phẩm có tem đổi áo như quảng cáo,-1,
bán hàng cũ ko có chuong trình khuyến mãi vũ trụ nang động mà hình ảnh quảng cáo chụp toàn thùng mới có ctrinh kmai,-1,
mua 3 thùng sữa 1 thùng 12 ngày rồi chưa nhận 2 thùng đặt cuối tuần 2 3 ngày sau giao đặt sớm giao muộn tệ 10 9 đặt lịch 21 9 nhận nay 23 9 chưa nhận,-1,
cũng mua nhiều hàng trên tiki nhưng chưa khi nào bực mình như vầy hàng bị lũng mà vẩn đóng gói hàng mua mới giao hàng 2h mà khi bị lỗi phải giải quyết nhanh mà kêu phải xử lý trong 1 tuần,-1,
tôi mua hàng của tiki nhiều lần rồi nhưng đúng hôm vừa rồi mua mà mãi hàng chưa giao hôm nọ có nhân viên giao hàng gọi thì mình bảo chiều mới có nhà vậy mà 3 ngày rồi chưa qua nếu đi giao hàng kết hợp tuyến đường thì cũng phải xem khách có thể nhận hàng vào khung giờ nào chứ chứ cứ kiểu đi giao không giao được thì bỏ là không ổn,-1,
nhờ tiki xem lại giúp mình khâu vận chuyển giao nhận nhé hiện tại tới thời điểm này mình vẫn không nhận được hàng chưa từng nhận được cuộc gọi của shiper nào cả mất công canh mã chờ sale để mua sữa cho con mà hàng không về mất hứng mua sắm hy vọng tiki khắc phục tình trạng này,-1,
trên thì báo bán sp mới có thẻ về nhà bóc ra thấy sp cũ,-1,
giao hàng quá chậm báo giao vào 4 10 mà 14 10 mới nhận được hàng từ lúc đặt hàng tới lúc nhận mất cả tháng,-1,
tại sao đặt 3 món mà giao chỉ 1 trong khi mình đã thanh toán bằng tiki xu gần hết tiền hàng,-1,
giao hàng siêu siêu lâu đặt 2 đơn milo mà một đơn về lâu r một đơn đợi mòi ko hiểu tại sao,-1,
giao hàng đến q8 mà 10 ngày mới nhận được đã thanh toán trước nếu không hủy đi ra của hàng mua cho lẹ thùng sữa chuyển qua không biết bao nhiêu tay mà đến lúc nhận thùng thì rách và bẩn nhìn ức chế không chịu được,-1,
mình mua sữa milo trên tiki rất nhiều rồi nhưng lần này tiki giao 2 thùng cho mình đều bị ướt thùng 1 hộp sữa bị lủng sữa bị hư vô cùng thất vọng,-1,
sữa uống ngon date xa giao nhanh nên mua nha mn,1,
đùa vì tin tưởng tiki tôi mua 1 lúc 3 thùng để uống dần vậy mà hàng đến tháng 8 là hết hạn tôi đang k biết phải tiêu thụ như thế nào đây,-1,
không nhận đc hàng mà báo đã giao,-1,
nên hỗ trợ giao hàng tới các tỉnh chỉ thấ tiki giao hà nội trong khi lotte mart giao đến nam định cấn hỗ trợ tốt hơn,0,
thật sự ko hài lòng về shop giao hàng thì quá ôi là lâu buôn bán ko đúng chữ tính shop tệ quá,-1,
đã nhận dc hàng tuy hơi lâu xíu,0,
rẻ wa mà chất lượng ok ngon lắm,1,
mua loại milo thường shop cố ý giao loại ít đường không khác gì đảo p s nhà cung cấp cửa hàng nam phương,-1,
giao hàng bị móp thùng dẫn đến 1 hộp sữa bị vỡ,-1,
không thanh toán được đơn hàng nầy,-1,
tiki trading mà chưa giao hàng đã thành công là sao tôi đặt hàng từ 22 11đến nay không nhận được tin tức gì hôm nay nhìn thấy trạng thái đã giao hàng thành công,-1,
đặt hàng ngày 9 9 2021 ngày nhận hàng 22 10 2021,-1,
không thanh toán đơn hàng được,-1,
chán quá đi mất rồi phí tiền,-1,
tôi mua sữa cho con đã dùng hết này mua thêm thùng nữa sao lại khoá nik của tôi lại tiki làm ăn kiểu gì thế khach mua mà không muốn bán hàng cho khách hả vậy thì lập app tiki mà làm gì,-1,
giao hàng rất chậm so với dự kiến,-1,
khong hai long gia cao it,-1,
thái độ giao hàng quá kém,-1,
chưa nhận đc hàng sao đã báo đã giao hàng vậy,-1,
đơn hàng giao hàng quá lâu,-1,
mua có chương trình tặng quà nhưng ko thấy đâu,-1,
hàng mình vừa nhận đây bên ngoại bọc túi bóng bên trong mở ra hỏng thế này uống sao được vậy shop,-1,
giao hàng chậm tôi có mua 1 thùng mà giao hàng chậm quá nên hủy thanh toán tiền qua ví momo mà 10 ngày rồi chưa được hoàn tiền,-1,
sản phẩm giao thiếu 10 hộp shop làm ăn đảo,-1,
mình tưởng lại sản phẩm mới đóng gói 3 hộp 1 lốc loại đó ngon hơn loại 4 hộp 1 lốc là loại sản phẩm cũ dùng hay bị cặn,-1,
không nhận được quà tiki kiểm tra lại và giao đủ như quảng cáo,-1,
đã thanh toán đơn hàng và đã có lịch giao hàng từ tiki từ 2 tuần nay mà đến nay hàng vẫn chưa đc giao quá thất vọng,-1,
hạn sử dụng dưới 50 chỉ còn khoảng 2 tháng,-1,
hạn quá ngắn chỉ còn chưa đầy 2 tháng,-1,
sản phẩm date quá ngắn mất 3 4 thời gian hạn sử dụng,-1,
hàng mở ra thùng bị ướt mặc dù qua 3 lớp nilông không hiểu tại sao đề nghị tiki xem xét lại chất lượng hàng,-1,
mua đến 2 tuần mới giao hàng thất vọng vì giao nhận của tiki,-1,
hạn sử dụng chỉ còn 1tháng,-1,
giao hàng hơi chậm giá cũng gần bằng ngoài hàng đợi lâu mới có hàng giao đến,-1,
gần một tuần rồi mà e cẫn thấy đơn hàng ở trạng thái đóng gói là sao ạ,-1,
để tặng 1 lốc sữa mà ko thấy tặng nhận hàng chỉ có thùng sữa,-1,
